Serial Number,PMID,Journal/Book,Publication year,Title,DOI,Citation,Authors,Keywords flagged,Self-reported study aim,Study category,Study location,,,Study population,Pathogen,Programming language,Population size,Age,Sex,Race/ethnicity,Income,Vaccination,Screening and/or testing,Masking,Contact tracing,School closure,Social distancing
30,34283842,PLoS One,2021,Heterogeneity matters: Contact structure and individual variation shape epidemic dynamics,10.1371/journal.pone.0250050,"Großmann G, Backenköhler M, Wolf V. Heterogeneity matters: Contact structure and individual variation shape epidemic dynamics. Gontis V, ed. PLoS ONE. 2021;16(7):e0250050. doi:10.1371/journal.pone.0250050","Großmann G, Backenköhler M, Wolf V.","epidemic, modeling, pandemic",To study the effects of heterogeneity,"Understanding Epidemic Spread, Intervention Impact Assessment",Theoretical,,Theoretical,General,SARS-CoV-2,Other/Unknown,1000,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
31,33435892,BMC Infect Dis,2021,A network-based model to explore the role of testing in the epidemiological control of the COVID-19 pandemic,10.1186/s12879-020-05750-9,"Cui Y, Ni S, Shen S. A network-based model to explore the role of testing in the epidemiological control of the COVID-19 pandemic. BMC Infect Dis. 2021;21(1):58. doi:10.1186/s12879-020-05750-9","Cui Y, Ni S, Shen S.","network-based, epidemic, transmission, model",To determine how testing affects the spread of epidemics and daily testing volume needed to control infectious diseases,Intervention Impact Assessment,Theoretical,,Theoretical,General,SARS-CoV-2,Other/Unknown,10000,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
32,35844852,Front Public Health,2022,Modeling of the Small-Scale Outbreak of COVID-19,10.3389/fpubh.2022.907814,"Wu ZY, Zhang HB, Zhao HF. Modeling of the Small-Scale Outbreak of COVID-19. Front Public Health. 2022;10:907814. doi:10.3389/fpubh.2022.907814","Wu ZY, Zhang HB, Zhao HF.","modeling, pandemic, epidemic",To create an effective epidemic model to describe transmission dynamics,Understanding Epidemic Spread,"Heilongjiang and Hebei (China) and Potter County, Texas (US)",Texas,"China, US",General,SARS-CoV-2,MATLAB,90000,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
33,35093012,BMC Infect Dis,2022,Preventing COVID-19 outbreaks through surveillance testing in healthcare facilities: a modelling study,10.1186/s12879-022-07075-1,"Litwin T, Timmer J, Berger M, Wahl-Kordon A, Müller MJ, Kreutz C. Preventing COVID-19 outbreaks through surveillance testing in healthcare facilities: a modelling study. BMC Infect Dis. 2022;22(1):105. doi:10.1186/s12879-022-07075-1","Litwin T, Timmer J, Berger M, Wahl-Kordon A, Müller MJ, Kreutz C.",disease,estimate the relative reduction of outbreak probability for test strategies relative to a symptom-based baseline strategy,Intervention Impact Assessment,Hornberg (Germany),,Germany,Hospital or Healthcare Facility,SARS-CoV-2,Other/Unknown,140,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
34,35298388,IEEE J Biomed Health Inform,2022,Fine-Grained Agent-Based Modeling to Predict Covid-19 Spreading and Effect of Policies in Large-Scale Scenarios,10.1109/JBHI.2022.3160243,"Lombardo G, Pellegrino M, Tomaiuolo M, et al. Fine-Grained Agent-Based Modeling to Predict Covid-19 Spreading and Effect of Policies in Large-Scale Scenarios. IEEE J Biomed Health Inform. 2022;26(5):2052-2062. doi:10.1109/JBHI.2022.3160243","Lombardo G, Pellegrino M, Tomaiuolo M, Cagnoni S, Mordonini M, Giacobini M, Poggi A.","agent-based modeling, simulation, epidemic",to model a large population at the single-individual level,Understanding Epidemic Spread,Lombardy (Italy),,Italy,General,SARS-CoV-2,JAVA,10060000,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
35,34071047,Int J Environ Res Public Health,2021,Quantifying the Effects of Social Distancing on the Spread of COVID-19,10.3390/ijerph18115566,"Daghriri T, Ozmen O. Quantifying the Effects of Social Distancing on the Spread of COVID-19. IJERPH. 2021;18(11):5566. doi:10.3390/ijerph18115566","Daghriri T, Ozmen O.","agent-based, agent-based modeling, pandemic",to understand the effect of social distancing on the spread of COVID-19 and determine the level of social distancing policies that should be applied,Intervention Impact Assessment,US,,US,General,SARS-CoV-2,NetLogo,512,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
36,36825137,Front Public Health,2023,Modeling COVID-19 infection dynamics and mitigation strategies for in-person K-6 instruction,10.3389/fpubh.2023.856940,"Morrison DE, Nianogo R, Manuel V, et al. Modeling COVID-19 infection dynamics and mitigation strategies for in-person K-6 instruction. Front Public Health. 2023;11:856940. doi:10.3389/fpubh.2023.856940","Morrison DE, Nianogo R, Manuel V, Arah OA, Anderson N, Kuo T, Inkelas M.","agent-based model, infection",create an adaptable model to assess key outcomes of interest for school shareholders,Intervention Impact Assessment,US,,US,University/School,SARS-CoV-2,R,12400000,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
37,35894099,Clin Trials,2022,Network methods and design of randomized trials: Application to investigation of COVID-19 vaccination boosters,10.1177/17407745221111818,"DeGruttola V, Goyal R, Martin NK, Wang R. Network methods and design of randomized trials: Application to investigation of COVID-19 vaccination boosters. Clinical Trials. 2022;19(4):363-374. doi:10.1177/17407745221111818","DeGruttola V, Goyal R, Martin NK, Wang R.","infections, models, epidemiology","explores the use of network science methods to improve the design, monitoring, and analysis of randomized trials for controlling infection spread.",Intervention Impact Assessment,San Diego (US),California,US,University/School,SARS-CoV-2,Other/Unknown,58400,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE
38,35428853,Sci Rep,2022,"Risk of sustained SARS-CoV-2 transmission in Queensland, Australia",10.1038/s41598-022-10349-y,"Sanz-Leon P, Stevenson NJ, Stuart RM, et al. Risk of sustained SARS-CoV-2 transmission in Queensland, Australia. Sci Rep. 2022;12(1):6309. doi:10.1038/s41598-022-10349-y","Sanz-Leon P, Stevenson NJ, Stuart RM, Abeysuriya RG, Pang JC, Lambert SB, Kerr CC, Roberts JA.","agent-based model, transmission, model",assess the risk of sustained community transmission of COVID-19 in the presence of high-transmission variants of the virus,Understanding Epidemic Spread,Queensland (Australia),,Australia,General,SARS-CoV-2,Python,2.00E+05,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
39,35270344,Int J Environ Res Public Health,2022,Modeling COVID-19 Outbreaks in Long-Term Care Facilities Using an Agent-Based Modeling and Simulation Approach,10.3390/ijerph19052635,"Asgary A, Blue H, Solis AO, et al. Modeling COVID-19 Outbreaks in Long-Term Care Facilities Using an Agent-Based Modeling and Simulation Approach. IJERPH. 2022;19(5):2635. doi:10.3390/ijerph19052635","Asgary A, Blue H, Solis AO, McCarthy Z, Najafabadi M, Tofighi MA, Wu J.","diseases, agent-based simulation, infection",examine how infection control measures influence COVID-19 spread through long term care facilities,Intervention Impact Assessment,Ontario (Canada),,Canada,Hospital or Healthcare Facility,SARS-CoV-2,JAVA,560,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
